holding_period,token_address,total_trades,high_confidence_trades,avg_return_multiple,max_return_multiple,points_analyzed,price_moves_5x,signals_generated
45,3HYx6a9whu5a4dnzE62WNXg46MrEmu9LFxutR2YBpump,22,17,8.461425128920828,15.807837772621777,34052,33,22
45,3rRKJyH9EFSKSS7uJSVteCUHLXq9kAKxFotQxTuhn2kQ,28,19,10.263329850621767,29.552214948654253,23974,73,28
45,41revsxLUZnoiUQoMT9eBVCzi4cs8Xbs48rp53gcpump,38,32,9.488028846377448,28.03924342456903,41367,53,38
45,46RN3PxRWtoPhu4jeA7WxWR5MAaLh6cm3S1kYmu8pump,1,1,5.372729160173491,5.372729160173491,38241,1,1
45,47uYAPNpAMJrLLxQZ7QQ9F1T6XBHqfPHLTfLsCCapump,8,7,8.558099285626305,10.772987693273736,25552,9,8
45,4AyViLduWHAiR6MhS8upSTx6A9C4dvMUa1F9Krzgpump,7,6,5.87193904553303,7.088230329839479,25488,15,7
45,4B3NXEKgsT9hsadpCKNEwSXj6aDqwR7iqe5GzvgKpump,20,20,6.989097152200678,10.340423900069068,31215,42,20
45,4e4pi2xRnNqVvNfLUcLCbXNiFfgNQuBCedUeJgE4pump,2,2,8.602067377238892,11.209719316950208,43155,5,2
45,4kHu4VktgzpZW9i8LEsHZrNLJcTV98nGhyZE5JSEpump,18,15,11.981540829879094,16.814007456879484,42883,25,18
45,4QeK5x94xw6PrqJE6jjsVhswXN8qvsgCeqVyfokgpump,8,7,7.013230247423328,9.551707086830692,25708,9,8
30,12HXYh3MHmyuraHtd82fGEKSwuhdsbPo1utXQKvXpump,1,1,5.136760265508673,5.136760265508673,24961,1,1
30,265sKc6C7wRcEkuLqzPCWUziHCqsp2Q1gXJo2H9Bpump,6,5,24.09064397380207,35.135000429137754,43170,10,6
30,28WdSGcReQCRW7WBWKsfo2AdVE5TTTyg6Z5Mi8jBFXmN,1,1,5.720170120313213,5.720170120313213,24138,1,1
30,2ban8tt99mhYf9hCXygvSUWDTxNAq54YQGGP3iNFpump,3,3,5.1681251748439685,5.2629769393946235,23732,3,3
30,2E3qS1oSVbeLxQEhdSrVDMn5ruhCg5JQCqPXKpwWpump,2,2,5.690296615454628,6.076951848420549,30476,2,2
30,2kaRSuDcz1V1kqq1sDmP23Wy98jutHQQgr5fGDWRpump,1,1,5.6554450871238515,5.6554450871238515,29476,1,1
30,2KgAN8nLAU74wjiyKi85m4ZT6Z9MtqrUTGfse8Xapump,3,3,5.829915545716066,5.99478981629713,43170,4,3
30,2odHeumkiJx46YyNHeZvDjMwsoNhpAgFQuipT96npump,3,3,5.531670906841369,5.97149794719139,24574,3,3
30,2xtF1kZQQ14dvVjTsAASPM5Jxax9Gpat8tMETegqpump,2,1,6.332985230942585,7.339848338018182,27560,3,2
30,33aY2XDYFfbANyBKGiAGUb7kYb4sY9SqPcUZPrwRpump,3,2,5.4631533988471,5.692067440245083,23805,5,3
30,3DkVGaNSMTcxFkgGDAm299FaVxgnCw2411vxZTmRpump,12,10,6.422022717642903,7.67378747381301,42223,19,12
30,3HYx6a9whu5a4dnzE62WNXg46MrEmu9LFxutR2YBpump,6,5,6.584542848939912,8.299654217878597,34067,10,6
30,3rRKJyH9EFSKSS7uJSVteCUHLXq9kAKxFotQxTuhn2kQ,22,15,9.92417271182555,29.552214948654253,23989,59,22
30,41revsxLUZnoiUQoMT9eBVCzi4cs8Xbs48rp53gcpump,31,26,8.019357538901794,13.890080143503363,41382,38,31
30,47uYAPNpAMJrLLxQZ7QQ9F1T6XBHqfPHLTfLsCCapump,5,4,7.17104219627178,8.883060256028877,25567,5,5
30,4AyViLduWHAiR6MhS8upSTx6A9C4dvMUa1F9Krzgpump,4,3,5.803467527873265,7.088230329839479,25503,10,4
30,4B3NXEKgsT9hsadpCKNEwSXj6aDqwR7iqe5GzvgKpump,14,14,6.934812862484646,8.785127333441073,31230,25,14
30,4e4pi2xRnNqVvNfLUcLCbXNiFfgNQuBCedUeJgE4pump,2,2,5.497632367054246,5.913958047491807,43170,2,2
30,4kHu4VktgzpZW9i8LEsHZrNLJcTV98nGhyZE5JSEpump,12,11,12.779806962702972,16.814007456879484,42898,18,12
